training,"[7.271120764641535, 6.3463738005274815, 5.893509000278654, 5.67705515280224, 5.600520322731563, 5.544994106724149, 5.319019516785939, 5.230162355354854, 5.221183038098472, 5.198980147997538, 5.1187497670536946, 5.073280908788954, 5.086659711338225, 5.0237116209893, 5.031416822478885, 4.926670812924703, 4.9528097392718, 4.8945774403753735, 4.897217196805136, 4.897749154749371, 4.84374711502166, 4.792701294671922, 4.885295762334551, 4.793066627207256, 4.792340889930725, 4.835027004287356, 4.779609661942437, 4.818450614997319, 4.850986165432703, 4.824847285815648, 4.810846482503981, 4.791530121349153, 4.811506855851128, 4.776110853558495, 4.68502441976184, 4.705973159040724, 4.752186281862713, 4.675467016492571, 4.733308852513631, 4.689044874327523, 4.7741635498546415, 4.793035764489855, 4.771919482321966, 4.7550250394003735, 4.714611301830836, 4.732513765471322, 4.757318670159295, 4.796039347262609, 4.721699904737019, 4.778085318905966, 4.718466572852361, 4.742596638974689, 4.729385107539949, 4.722804094995771, 4.685727133319491, 4.6657320125443595, 4.805551637694949, 4.725449561028253]"
testing,"[8.200603384739722, 7.793702149101303, 7.812992260448839, 7.689616459662429, 7.549359319782547, 7.5348405868811446, 8.113456580051897, 7.10726706035956, 7.350743868068359, 7.653696985049089, 7.568668139017099, 7.229117104528886, 7.896735406755314, 7.336250189952213, 7.644441835786072, 7.165040260027969, 7.601597155299955, 7.660449926614037, 7.3478209825634595, 7.585549621958863, 7.433479127007052, 7.343555802632248, 7.9202977011268985, 7.898283995031224, 7.528788127616546, 7.9198223676724995, 7.785806072519181, 7.939034413240601, 7.529247199148393, 7.687073137441304, 7.630952513145458, 7.978045080751634, 7.690785794272611, 7.876996096687838, 7.633395437592793, 7.68257661920188, 8.021542081716937, 8.20768880046972, 7.391412242567648, 8.08183236488093, 7.875721195367332, 7.684794738843448, 8.051767121332395, 7.6999077438221155, 8.09636967414056, 7.9186745449040075, 7.717974648468401, 8.043015891657774, 7.802123091684649, 7.729460527831661, 7.63009130211949, 7.8883739168158415, 7.6493644841173865, 7.713831356955879, 7.505483183092622, 7.774875246463938, 7.745219575416716, 7.696898624889757]"
training_accuracy,"[0.4866509216589862, 0.651576420890937, 0.705983870967742, 0.7338509984639017, 0.7572941628264209, 0.7719623655913979, 0.781831797235023, 0.785189708141321, 0.8000453149001536, 0.8094842549923195, 0.8154508448540707, 0.8182123655913979, 0.8277926267281106, 0.8291409370199694, 0.8323559907834102, 0.8343563748079877, 0.8381190476190477, 0.8411897081413211, 0.842010752688172, 0.8458433179723502, 0.8442369431643626, 0.8470103686635945, 0.8492849462365591, 0.8468917050691245, 0.8507127496159754, 0.849844470046083, 0.8529627496159755, 0.8578659754224269, 0.8577853302611367, 0.8560691244239632, 0.8580568356374809, 0.8552692012288786, 0.8568321812596007, 0.8588448540706606, 0.8544719662058371, 0.8567722734254993, 0.8575218894009217, 0.8589865591397849, 0.861378648233487, 0.8556893241167435, 0.8613567588325654, 0.8597139016897082, 0.860546850998464, 0.8614873271889402, 0.8605345622119815, 0.8603417818740399, 0.8671417050691245, 0.8645349462365591, 0.8583317972350231, 0.8621175115207373, 0.8597596006144393, 0.8640929339477728, 0.8641539938556068, 0.8638782642089095, 0.8646778033794164, 0.8644404761904761, 0.870713133640553, 0.8642373271889401]"
testing_accuracy,"[0.3971314589665654, 0.42138424518743667, 0.4105876393110436, 0.491862968591692, 0.49344604863221886, 0.49499746707193515, 0.4835359675785208, 0.49369934143870314, 0.49784701114488344, 0.5026595744680851, 0.5030711752786221, 0.5022163120567376, 0.5081053698074974, 0.5086119554204661, 0.48287107396149953, 0.5174455420466059, 0.49252786220871325, 0.48271276595744683, 0.5067122593718338, 0.49664387031408314, 0.4929394630192503, 0.4964539007092199, 0.5018047112462006, 0.48923505572441744, 0.441742654508612, 0.49056484295846003, 0.48996327254305977, 0.5118097771023302, 0.4957890070921986, 0.4905331813576494, 0.49021656534954405, 0.491862968591692, 0.4939209726443769, 0.4931927558257345, 0.48717705167173253, 0.4963905775075988, 0.4930344478216819, 0.493161094224924, 0.4946808510638298, 0.4990184903748734, 0.49955673758865243, 0.4949341438703141, 0.4948391590678825, 0.503007852077001, 0.4930661094224924, 0.49211626139817627, 0.4965488855116515, 0.4861322188449848, 0.507250506585613, 0.5083903242147922, 0.4902482269503546, 0.4971821175278622, 0.5035144376899696, 0.4974354103343465, 0.4941109422492401, 0.4920529381965552, 0.5020263424518744, 0.5044326241134752]"
