train_loss,0.33324566
valid_loss,0.17876998
train_acc,0.8984375
valid_acc,0.9785714285714286
valid_accs,"[0.3928571428571428, 0.5714285714285715, 0.5892857142857142, 0.642857142857143, 0.7214285714285714, 0.642857142857143, 0.6857142857142857, 0.6392857142857145, 0.5857142857142856, 0.7321428571428571, 0.7321428571428572, 0.7535714285714287, 0.7178571428571427, 0.8178571428571427, 0.8142857142857143, 0.7999999999999999, 0.7178571428571429, 0.8357142857142856, 0.775, 0.7642857142857142, 0.8142857142857143, 0.8357142857142857, 0.8321428571428571, 0.8071428571428573, 0.8928571428571429, 0.8464285714285715, 0.9071428571428571, 0.8714285714285716, 0.8928571428571429, 0.7892857142857143, 0.8214285714285714, 0.9107142857142858, 0.8678571428571429, 0.9571428571428571, 0.8821428571428571, 0.9107142857142858, 0.835714285714286, 0.9071428571428573, 0.8892857142857145, 0.8714285714285713, 0.8535714285714286, 0.8571428571428571, 0.9071428571428571, 0.8428571428571429, 0.8964285714285716, 0.9535714285714285, 0.8964285714285716, 0.9107142857142856, 0.8642857142857142, 0.7928571428571428, 0.9392857142857144, 0.8750000000000002, 0.8964285714285714, 0.8964285714285716, 0.9107142857142856, 0.9357142857142857, 0.8357142857142856, 0.9142857142857143, 0.9214285714285715, 0.9071428571428573, 0.8892857142857142, 0.7821428571428571, 0.95, 0.8892857142857145, 0.9357142857142857, 0.875, 0.9142857142857144, 0.9107142857142858, 0.9142857142857143, 0.825, 0.9428571428571428, 0.9071428571428573, 0.9107142857142858, 0.9464285714285715, 0.9499999999999998, 0.9428571428571427, 0.9178571428571429, 0.9535714285714286, 0.9464285714285714, 0.8392857142857144, 0.9321428571428572, 0.9214285714285714, 0.95, 0.9678571428571429, 0.9392857142857144, 0.9071428571428571, 0.9285714285714286, 0.875, 0.9178571428571429, 0.8714285714285716, 0.9464285714285715, 0.8857142857142858, 0.9, 0.9321428571428572, 0.8892857142857142, 0.9285714285714285, 0.6285714285714287, 0.8678571428571429, 0.9678571428571429, 0.9321428571428572, 0.9035714285714287, 0.9428571428571428, 0.9071428571428571, 0.9000000000000001, 0.9607142857142857, 0.9214285714285714, 0.9535714285714286, 0.7142857142857142, 0.9464285714285715, 0.9535714285714286, 0.9571428571428571, 0.925, 0.9214285714285714, 0.9607142857142857, 0.8928571428571429, 0.9249999999999998, 0.8928571428571429, 0.9142857142857143, 0.9214285714285715, 0.8035714285714285, 0.9285714285714285, 0.9071428571428573, 0.9000000000000001, 0.9071428571428571, 0.9214285714285715, 0.9285714285714286, 0.9214285714285715, 0.8892857142857142, 0.9321428571428572, 0.925, 0.9357142857142857, 0.9642857142857142, 0.8892857142857142, 0.9642857142857142, 0.914285714285714, 0.9285714285714285, 0.8785714285714287, 0.9392857142857143, 0.9428571428571427, 0.8071428571428572, 0.9535714285714286, 0.9428571428571428, 0.8750000000000002, 0.9321428571428572, 0.9214285714285714, 0.925, 0.9107142857142858, 0.9749999999999999, 0.9392857142857143, 0.9107142857142856, 0.9035714285714287, 0.8214285714285715, 0.8535714285714284, 0.9, 0.8642857142857142, 0.8750000000000002, 0.9571428571428573, 0.925, 0.9357142857142856, 0.9321428571428572, 0.9428571428571428, 0.9321428571428569, 0.8821428571428571, 0.9321428571428572, 0.9642857142857142, 0.7714285714285714, 0.95, 0.9142857142857143, 0.9821428571428571, 0.9571428571428571, 0.925, 0.9464285714285714, 0.9071428571428571, 0.9178571428571429, 0.9607142857142857, 0.9178571428571427, 0.8642857142857144, 0.9357142857142857, 0.9428571428571428, 0.9107142857142856, 0.9357142857142856, 0.975, 0.9642857142857144, 0.9749999999999999, 0.9464285714285714, 0.9428571428571428, 0.9785714285714284, 0.9785714285714284, 0.9035714285714285, 0.9607142857142857, 0.8571428571428571, 0.9, 0.9464285714285715, 0.9285714285714286, 0.875, 0.9, 0.8892857142857145, 0.8571428571428573, 0.9785714285714286, 0.9535714285714286, 0.9178571428571429, 0.8964285714285716, 0.9035714285714285, 0.8678571428571429, 0.9285714285714286, 0.9392857142857143, 0.8785714285714287, 0.925, 0.925, 0.9535714285714286, 0.9464285714285714, 0.9464285714285714, 0.925, 0.9785714285714286, 0.9321428571428572, 0.9321428571428572, 0.9571428571428573, 0.9285714285714286, 0.8678571428571429, 0.9285714285714286, 0.9428571428571428, 0.9214285714285714, 0.9142857142857144, 0.9535714285714286, 0.9107142857142858, 0.9571428571428571, 0.9464285714285715, 0.95, 0.9714285714285713, 0.9285714285714286, 0.9607142857142857, 0.975, 0.8321428571428571, 0.9357142857142857, 0.9142857142857144, 0.9857142857142858, 0.95, 0.9678571428571429, 0.9464285714285715, 0.975, 0.9214285714285715, 0.9285714285714285, 0.9571428571428573, 0.9392857142857143, 0.9714285714285715, 0.9464285714285715, 0.9107142857142858, 0.9642857142857142, 0.8857142857142858]"
valid_losses,"[tensor(2.7707), tensor(1.9725), tensor(1.5929), tensor(1.4251), tensor(1.1145), tensor(1.1597), tensor(1.0993), tensor(1.1317), tensor(1.1420), tensor(0.9447), tensor(0.8613), tensor(0.7991), tensor(0.8856), tensor(0.6748), tensor(0.6868), tensor(0.6329), tensor(0.9236), tensor(0.5855), tensor(0.6421), tensor(0.7000), tensor(0.5576), tensor(0.5516), tensor(0.5945), tensor(0.6206), tensor(0.4360), tensor(0.5604), tensor(0.4132), tensor(0.4581), tensor(0.4141), tensor(0.7075), tensor(0.7114), tensor(0.4464), tensor(0.5176), tensor(0.3222), tensor(0.3943), tensor(0.4271), tensor(0.5060), tensor(0.3939), tensor(0.5040), tensor(0.4089), tensor(0.4661), tensor(0.4706), tensor(0.3240), tensor(0.5049), tensor(0.4275), tensor(0.2789), tensor(0.4374), tensor(0.3715), tensor(0.4463), tensor(0.6686), tensor(0.3305), tensor(0.4326), tensor(0.4106), tensor(0.3977), tensor(0.3260), tensor(0.3148), tensor(0.4745), tensor(0.3502), tensor(0.3168), tensor(0.2962), tensor(0.3795), tensor(0.6555), tensor(0.2501), tensor(0.4033), tensor(0.3385), tensor(0.4571), tensor(0.3252), tensor(0.3129), tensor(0.3536), tensor(0.5049), tensor(0.2934), tensor(0.3519), tensor(0.3502), tensor(0.3308), tensor(0.2946), tensor(0.2994), tensor(0.3463), tensor(0.2423), tensor(0.2657), tensor(0.4320), tensor(0.3026), tensor(0.3063), tensor(0.2927), tensor(0.2176), tensor(0.3172), tensor(0.3913), tensor(0.2587), tensor(0.4490), tensor(0.2958), tensor(0.3944), tensor(0.2644), tensor(0.4093), tensor(0.4047), tensor(0.2743), tensor(0.4042), tensor(0.3185), tensor(1.1960), tensor(0.4553), tensor(0.3592), tensor(0.3073), tensor(0.4322), tensor(0.3004), tensor(0.3089), tensor(0.3529), tensor(0.2251), tensor(0.3192), tensor(0.2329), tensor(0.7140), tensor(0.2815), tensor(0.3029), tensor(0.2141), tensor(0.3795), tensor(0.3398), tensor(0.2800), tensor(0.4044), tensor(0.3324), tensor(0.3912), tensor(0.2822), tensor(0.3597), tensor(0.5381), tensor(0.3300), tensor(0.3510), tensor(0.3684), tensor(0.3106), tensor(0.3541), tensor(0.2956), tensor(0.3421), tensor(0.4066), tensor(0.3130), tensor(0.2996), tensor(0.2595), tensor(0.2003), tensor(0.4014), tensor(0.2167), tensor(0.2967), tensor(0.2988), tensor(0.4123), tensor(0.3113), tensor(0.2722), tensor(0.6294), tensor(0.2200), tensor(0.2529), tensor(0.4413), tensor(0.3033), tensor(0.2674), tensor(0.3034), tensor(0.3620), tensor(0.2244), tensor(0.2449), tensor(0.3317), tensor(0.3371), tensor(0.7532), tensor(0.5491), tensor(0.3971), tensor(0.4646), tensor(0.4175), tensor(0.2371), tensor(0.3191), tensor(0.2608), tensor(0.2788), tensor(0.2643), tensor(0.2528), tensor(0.3754), tensor(0.2854), tensor(0.1994), tensor(0.6180), tensor(0.2583), tensor(0.3098), tensor(0.2381), tensor(0.2460), tensor(0.3207), tensor(0.2981), tensor(0.3247), tensor(0.3141), tensor(0.2525), tensor(0.2764), tensor(0.4973), tensor(0.2990), tensor(0.2292), tensor(0.3154), tensor(0.2834), tensor(0.1972), tensor(0.2497), tensor(0.2371), tensor(0.2824), tensor(0.2912), tensor(0.1877), tensor(0.2372), tensor(0.3780), tensor(0.1985), tensor(0.4390), tensor(0.3457), tensor(0.2256), tensor(0.2728), tensor(0.4054), tensor(0.4157), tensor(0.3729), tensor(0.4238), tensor(0.1788), tensor(0.2124), tensor(0.3240), tensor(0.3481), tensor(0.3566), tensor(0.3784), tensor(0.2787), tensor(0.2700), tensor(0.3846), tensor(0.3431), tensor(0.3665), tensor(0.2822), tensor(0.2779), tensor(0.2579), tensor(0.3136), tensor(0.2187), tensor(0.2481), tensor(0.3353), tensor(0.2394), tensor(0.2611), tensor(0.4676), tensor(0.3055), tensor(0.2595), tensor(0.2487), tensor(0.3159), tensor(0.2420), tensor(0.3287), tensor(0.2521), tensor(0.2498), tensor(0.2490), tensor(0.2169), tensor(0.2453), tensor(0.2148), tensor(0.2250), tensor(0.5464), tensor(0.3214), tensor(0.3469), tensor(0.2007), tensor(0.2615), tensor(0.2381), tensor(0.2377), tensor(0.2151), tensor(0.3419), tensor(0.3315), tensor(0.2657), tensor(0.2743), tensor(0.2584), tensor(0.2907), tensor(0.3708), tensor(0.2341), tensor(0.4011)]"
grasp_accuracies,"{0: 0.8928571428571429, 1: 0.9285714285714286, 2: 1.0, 3: 1.0, 4: 1.0, 5: 1.0, 6: 1.0, 7: 0.9642857142857143, 8: 1.0, 9: 1.0}"
predictions,"{0: ['apple', 'cube', 'cube', 'sponge', 'cup', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'cup', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'cup', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 1: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'cup', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'apple', 'cylinder'], 2: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 3: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 4: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 5: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 6: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 7: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'apple', 'cylinder'], 8: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 9: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder']}"
true_labels,"{0: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 1: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 2: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 3: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 4: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 5: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 6: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 7: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 8: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder'], 9: ['apple', 'cube', 'cube', 'sponge', 'apple', 'bottle', 'cube', 'sponge', 'cup', 'apple', 'cards', 'sponge', 'cup', 'cup', 'bottle', 'sponge', 'cylinder', 'cards', 'sponge', 'bottle', 'cylinder', 'sponge', 'cylinder', 'bottle', 'cylinder', 'cube', 'cylinder', 'cylinder']}"
epoch,198
