training,"[tensor(1.7213), tensor(1.5233), tensor(1.3674), tensor(1.2001), tensor(1.1209), tensor(1.0501), tensor(0.9869), tensor(0.9422), tensor(0.9389), tensor(0.9023), tensor(0.8622), tensor(0.8468), tensor(0.8096), tensor(0.7965), tensor(0.7798), tensor(0.7465), tensor(0.7492), tensor(0.7176), tensor(0.6992), tensor(0.6813), tensor(0.6825), tensor(0.6613), tensor(0.6411), tensor(0.6888), tensor(0.6258), tensor(0.6128), tensor(0.6127), tensor(0.5983), tensor(0.5953), tensor(0.5919), tensor(0.5887), tensor(0.5889), tensor(0.5517), tensor(0.5393), tensor(0.5538), tensor(0.5393), tensor(0.5318), tensor(0.5633), tensor(0.5209), tensor(0.5405), tensor(0.5075), tensor(0.4812), tensor(0.5016), tensor(0.4811), tensor(0.4871), tensor(0.4598), tensor(0.4519), tensor(0.5193), tensor(0.4643), tensor(0.4498), tensor(0.4353), tensor(0.4196), tensor(0.4208), tensor(0.4294), tensor(0.4398), tensor(0.4239), tensor(0.4429), tensor(0.4172), tensor(0.4231), tensor(0.4247), tensor(0.3820), tensor(0.3881), tensor(0.3825), tensor(0.4020), tensor(0.3843), tensor(0.4361), tensor(0.3842), tensor(0.3920), tensor(0.3697), tensor(0.4168), tensor(0.3511), tensor(0.3613), tensor(0.3546), tensor(0.3414), tensor(0.4163), tensor(0.6528), tensor(0.4510), tensor(0.3863), tensor(0.3537), tensor(0.3449), tensor(0.3524), tensor(0.3415), tensor(0.3852), tensor(0.5407), tensor(0.3432), tensor(0.3319), tensor(0.3207), tensor(0.3319), tensor(0.3197), tensor(0.3158), tensor(0.3366), tensor(0.3235), tensor(0.3109), tensor(0.3200), tensor(0.3183), tensor(0.3051), tensor(0.3132), tensor(0.3128), tensor(0.2912), tensor(0.3208), tensor(0.3004), tensor(0.3046), tensor(0.2826), tensor(0.2842), tensor(0.3623), tensor(0.2962), tensor(0.2860), tensor(0.2760), tensor(0.2869), tensor(0.2715), tensor(0.2839), tensor(0.3293), tensor(0.2749), tensor(0.2673), tensor(0.2708), tensor(0.2741), tensor(0.2565), tensor(0.5982), tensor(4.2272), tensor(4.5784), tensor(3.8392), tensor(2.6647), tensor(1.4737), tensor(4.6283), tensor(3.0224), tensor(3.0214), tensor(0.9725), tensor(1.0995), tensor(2.3063), tensor(4.4546), tensor(1.2241), tensor(0.7278), tensor(0.6076), tensor(0.5937), tensor(0.5838), tensor(0.5382), tensor(0.5323), tensor(0.4730), tensor(0.4511), tensor(0.4421), tensor(0.4309), tensor(0.4377), tensor(0.4495), tensor(0.3884), tensor(0.3931), tensor(0.3889), tensor(0.3639), tensor(0.3543), tensor(0.3969), tensor(0.3424), tensor(0.3412), tensor(0.3753), tensor(0.3459), tensor(0.3417), tensor(0.3451), tensor(0.4254), tensor(0.3095), tensor(0.3192), tensor(0.3066), tensor(0.2948), tensor(0.3271), tensor(0.3046), tensor(0.2876), tensor(0.2813), tensor(0.3898), tensor(0.2852), tensor(0.2663)]"
testing,"[tensor(1.6606), tensor(1.4361), tensor(1.2660), tensor(1.1009), tensor(1.0472), tensor(0.9638), tensor(0.9639), tensor(0.8631), tensor(0.8270), tensor(0.7721), tensor(0.7607), tensor(0.7336), tensor(0.7156), tensor(0.6977), tensor(0.6850), tensor(0.6521), tensor(0.6766), tensor(0.6215), tensor(0.5803), tensor(0.6356), tensor(0.6018), tensor(0.5761), tensor(0.5418), tensor(0.5159), tensor(0.5175), tensor(0.4913), tensor(0.5224), tensor(0.5148), tensor(0.4742), tensor(0.4746), tensor(0.4506), tensor(0.4959), tensor(0.4630), tensor(0.4202), tensor(0.4158), tensor(0.4148), tensor(0.4319), tensor(0.4261), tensor(0.4327), tensor(0.3927), tensor(0.3743), tensor(0.3832), tensor(0.3761), tensor(0.3872), tensor(0.3581), tensor(0.3672), tensor(0.3721), tensor(0.4427), tensor(0.3752), tensor(0.3554), tensor(0.3685), tensor(0.3107), tensor(0.3422), tensor(0.3470), tensor(0.3063), tensor(0.3452), tensor(0.2884), tensor(0.3409), tensor(0.3152), tensor(0.3518), tensor(0.2889), tensor(0.3223), tensor(0.2908), tensor(0.2932), tensor(0.3076), tensor(0.2812), tensor(0.2841), tensor(0.2963), tensor(0.2793), tensor(0.2529), tensor(0.2751), tensor(0.2976), tensor(0.2822), tensor(0.2715), tensor(0.2907), tensor(0.2873), tensor(0.4359), tensor(0.2534), tensor(0.2861), tensor(0.2490), tensor(0.2713), tensor(0.2605), tensor(0.2570), tensor(0.2684), tensor(0.2698), tensor(0.2577), tensor(0.2399), tensor(0.2754), tensor(0.2519), tensor(0.2521), tensor(0.2847), tensor(0.2585), tensor(0.2903), tensor(0.2681), tensor(0.2322), tensor(0.2400), tensor(0.2397), tensor(0.2583), tensor(0.2421), tensor(0.2729), tensor(0.2444), tensor(0.2484), tensor(0.2425), tensor(0.2357), tensor(0.2517), tensor(0.2080), tensor(0.1992), tensor(0.2305), tensor(0.2205), tensor(0.2161), tensor(0.2203), tensor(0.2442), tensor(0.2058), tensor(0.2272), tensor(0.2358), tensor(0.1931), tensor(0.1872), tensor(3.7608), tensor(6.5756), tensor(5.3460), tensor(4.0207), tensor(0.8883), tensor(7.5339), tensor(4.7069), tensor(1.8397), tensor(0.9712), tensor(0.4580), tensor(0.5030), tensor(0.9227), tensor(0.9918), tensor(0.4549), tensor(0.4149), tensor(0.4099), tensor(0.3898), tensor(0.3814), tensor(0.3532), tensor(0.3379), tensor(0.3187), tensor(0.3190), tensor(0.3012), tensor(0.2920), tensor(0.4591), tensor(0.2639), tensor(0.2678), tensor(0.3216), tensor(0.2908), tensor(0.2928), tensor(0.2456), tensor(0.2429), tensor(0.2548), tensor(0.2658), tensor(0.2537), tensor(0.2524), tensor(0.2151), tensor(1.5835), tensor(0.2309), tensor(0.2332), tensor(0.2273), tensor(0.2159), tensor(0.2525), tensor(0.2250), tensor(0.2445), tensor(0.2190), tensor(0.3355), tensor(0.2348), tensor(0.2239), tensor(0.2178)]"
training_accuracy,"[0.28755733944954126, 0.40825688073394495, 0.5090309633027523, 0.6011324541284404, 0.6391915137614679, 0.6755303899082569, 0.6928755733944955, 0.7148795871559633, 0.7102924311926605, 0.7303612385321101, 0.7506450688073395, 0.752365252293578, 0.7656966743119266, 0.7693520642201835, 0.7770212155963303, 0.7888474770642202, 0.7864822247706422, 0.8076978211009175, 0.8092746559633027, 0.8158686926605505, 0.8149369266055045, 0.8180189220183486, 0.8352207568807339, 0.827766628440367, 0.8415280963302753, 0.8393778669724771, 0.8451118119266054, 0.848480504587156, 0.8447534403669725, 0.8459719036697247, 0.8493405963302753, 0.8570814220183486, 0.8689076834862385, 0.8677608944954128, 0.8623136467889908, 0.8670441513761468, 0.8676175458715596, 0.8499856651376146, 0.878081995412844, 0.854286123853211, 0.8808772935779816, 0.8908400229357798, 0.8813790137614679, 0.8857511467889908, 0.8854644495412844, 0.8958572247706422, 0.8962872706422018, 0.8833142201834863, 0.8962155963302753, 0.8962155963302753, 0.9040280963302753, 0.9100487385321101, 0.9091169724770642, 0.895355504587156, 0.8954271788990825, 0.9065366972477065, 0.9015911697247706, 0.9023079128440367, 0.8979357798165137, 0.9046731651376146, 0.9195814220183486, 0.9149942660550459, 0.9189363532110092, 0.9065366972477065, 0.9146358944954128, 0.9057482798165137, 0.9147792431192661, 0.9136324541284404, 0.9213732798165137, 0.906608371559633, 0.9236668577981652, 0.9234518348623854, 0.9255303899082569, 0.9301175458715596, 0.9114822247706422, 0.8551462155963303, 0.9030963302752294, 0.9121989678899083, 0.9264621559633027, 0.9297591743119266, 0.9276089449541285, 0.9308342889908257, 0.9185779816513762, 0.8894065366972477, 0.9335579128440367, 0.932411123853211, 0.940581995412844, 0.9341313073394495, 0.935134747706422, 0.9397935779816514, 0.9314076834862385, 0.9359231651376146, 0.9399369266055045, 0.9342746559633027, 0.9375716743119266, 0.9419438073394495, 0.9377866972477065, 0.9395785550458715, 0.9478927752293578, 0.9294724770642202, 0.942588876146789, 0.9385034403669725, 0.9481794724770642, 0.9496846330275229, 0.9162844036697247, 0.9433772935779816, 0.945670871559633, 0.9503297018348624, 0.9430189220183486, 0.9493262614678899, 0.9462442660550459, 0.932411123853211, 0.9455991972477065, 0.9496846330275229, 0.9496129587155964, 0.9482511467889908, 0.9518348623853211, 0.9090452981651376, 0.6999713302752294, 0.6486525229357798, 0.6740969036697247, 0.7099340596330275, 0.7410407110091743, 0.6517345183486238, 0.677680619266055, 0.6791857798165137, 0.7658400229357798, 0.762543004587156, 0.7278526376146789, 0.6765338302752294, 0.7219753440366973, 0.7583858944954128, 0.7873423165137615, 0.7932912844036697, 0.7922161697247706, 0.8068377293577982, 0.8099913990825688, 0.840668004587156, 0.8460435779816514, 0.8473337155963303, 0.8534260321100917, 0.8508457568807339, 0.8500573394495413, 0.8864678899082569, 0.8763618119266054, 0.8769352064220184, 0.8892631880733946, 0.8937786697247706, 0.8852494266055045, 0.9029529816513762, 0.9008744266055045, 0.8870412844036697, 0.9028813073394495, 0.9056766055045872, 0.9056049311926605, 0.8858228211009175, 0.9246702981651376, 0.9186496559633027, 0.9200831422018348, 0.931694380733945, 0.9124856651376146, 0.9281106651376146, 0.9318377293577982, 0.9425172018348624, 0.9127006880733946, 0.9385034403669725, 0.9452408256880734]"
testing_accuracy,"[0.33764367816091956, 0.4667744252873563, 0.5765086206896551, 0.6235632183908046, 0.7149784482758621, 0.7194683908045977, 0.6873204022988506, 0.7550287356321839, 0.7613146551724138, 0.8142959770114943, 0.8058548850574713, 0.8159123563218391, 0.813757183908046, 0.8205818965517241, 0.8342313218390804, 0.8457255747126436, 0.8054956896551724, 0.8570402298850575, 0.8811063218390804, 0.8324353448275862, 0.849676724137931, 0.8741020114942529, 0.8987068965517241, 0.9073275862068966, 0.9080459770114943, 0.9044540229885057, 0.8604525862068966, 0.8742816091954023, 0.8967313218390804, 0.9102011494252874, 0.9102011494252874, 0.8994252873563219, 0.9175646551724138, 0.9270833333333334, 0.9200790229885057, 0.9375, 0.9252873563218391, 0.9148706896551724, 0.9107399425287356, 0.9466594827586207, 0.9484554597701149, 0.9247485632183908, 0.9344468390804598, 0.9364224137931034, 0.9504310344827587, 0.9507902298850575, 0.9394755747126436, 0.8985272988505747, 0.9403735632183908, 0.9457614942528736, 0.9401939655172413, 0.9646192528735632, 0.9432471264367817, 0.9430675287356322, 0.9610272988505747, 0.9428879310344828, 0.9692887931034483, 0.945941091954023, 0.9581537356321839, 0.9317528735632183, 0.9529454022988506, 0.951867816091954, 0.9533045977011494, 0.9610272988505747, 0.9484554597701149, 0.9592313218390804, 0.9604885057471264, 0.9529454022988506, 0.9572557471264368, 0.974676724137931, 0.9635416666666666, 0.9536637931034483, 0.9594109195402298, 0.9642600574712644, 0.9545617816091954, 0.943426724137931, 0.9091235632183908, 0.962823275862069, 0.951867816091954, 0.9619252873563219, 0.9423491379310345, 0.9606681034482759, 0.9718031609195402, 0.9617456896551724, 0.9656968390804598, 0.9585129310344828, 0.9619252873563219, 0.9522270114942529, 0.9637212643678161, 0.9655172413793104, 0.9324712643678161, 0.9565373563218391, 0.9351652298850575, 0.9534841954022989, 0.9646192528735632, 0.9709051724137931, 0.9669540229885057, 0.9572557471264368, 0.9642600574712644, 0.9430675287356322, 0.9642600574712644, 0.9570761494252874, 0.9619252873563219, 0.9689295977011494, 0.9567169540229885, 0.9721623563218391, 0.974676724137931, 0.9667744252873564, 0.9716235632183908, 0.9698275862068966, 0.9639008620689655, 0.9513290229885057, 0.9732399425287356, 0.9691091954022989, 0.959051724137931, 0.9773706896551724, 0.9780890804597702, 0.4978448275862069, 0.6120689655172413, 0.6339798850574713, 0.7077945402298851, 0.7936422413793104, 0.7729885057471264, 0.693426724137931, 0.7117456896551724, 0.8189655172413793, 0.8852370689655172, 0.867816091954023, 0.7478448275862069, 0.7923850574712644, 0.8721264367816092, 0.8615301724137931, 0.852191091954023, 0.8848778735632183, 0.8654813218390804, 0.8985272988505747, 0.9057112068965517, 0.9145114942528736, 0.9204382183908046, 0.9349856321839081, 0.9400143678160919, 0.8645833333333334, 0.9522270114942529, 0.9463002873563219, 0.9173850574712644, 0.9360632183908046, 0.9304956896551724, 0.9626436781609196, 0.9651580459770115, 0.9619252873563219, 0.9258261494252874, 0.9549209770114943, 0.9572557471264368, 0.9707255747126436, 0.8227370689655172, 0.9642600574712644, 0.9637212643678161, 0.9719827586206896, 0.9671336206896551, 0.9567169540229885, 0.9551005747126436, 0.9516882183908046, 0.967492816091954, 0.9071479885057471, 0.961566091954023, 0.9633620689655172, 0.9667744252873564]"
