train_loss,0.59261364
valid_loss,0.26738596
train_acc,0.8078125
valid_acc,0.9268750000000001
grasp_accuracies,"{0: 0.809375, 1: 0.85, 2: 0.953125, 3: 1.0, 4: 1.0, 5: 0.984375, 6: 0.834375, 7: 0.934375, 8: 0.984375, 9: 0.91875}"
predictions,"{0: ['sponge', 'cylinder', 'sponge', 'cards', 'cards', 'cylinder', 'cube', 'sponge', 'sponge', 'cube', 'apple', 'cup', 'cylinder', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'cards', 'bottle', 'cube', 'cylinder', 'cube', 'cylinder', 'cup', 'cube', 'cube', 'apple', 'bottle', 'cylinder', 'apple', 'apple', 'cube', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 1: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cube', 'sponge', 'cube', 'cube', 'cylinder', 'apple', 'sponge'], 2: ['sponge', 'cube', 'sponge', 'cube', 'cube', 'cylinder', 'cube', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'apple', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 3: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 4: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 5: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cube', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 6: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cube', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cube', 'cube', 'bottle', 'apple', 'sponge'], 7: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'bottle', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cube', 'cards', 'cylinder', 'apple', 'sponge'], 8: ['sponge', 'cube', 'sponge', 'cube', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 9: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'bottle', 'cube', 'bottle', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cube', 'apple', 'sponge']}"
true_labels,"{0: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 1: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 2: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 3: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 4: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 5: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 6: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 7: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 8: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge'], 9: ['sponge', 'cube', 'sponge', 'cards', 'cube', 'cylinder', 'cards', 'sponge', 'sponge', 'apple', 'apple', 'cup', 'cube', 'bottle', 'cylinder', 'cards', 'cup', 'cylinder', 'cup', 'cup', 'bottle', 'bottle', 'bottle', 'cylinder', 'cube', 'cylinder', 'cup', 'bottle', 'cube', 'apple', 'bottle', 'cube', 'apple', 'apple', 'cup', 'cards', 'sponge', 'cards', 'cards', 'cylinder', 'apple', 'sponge']}"
epoch,407
